ID,Gmina,Województwo,Powiat,Typ gminy,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
172,Jordanów śląski,dolnośląskie,wrocławski,wiejska,5669,57,3154,56,33,29,3,0,1,41,1,39,1,0,0,0,0,0,0,18,16,26,11,2,1,0,0,22,0,0,0,0,0,1,0,0,0,0,0,0,0,21,0,0,5,0,0,1,0,0,0,1,0,15,0,0,0,10
173,Kąty Wrocławskie,dolnośląskie,wrocławski,miejsko-wiejska,17666,177,24021,136,152,146,4,2,0,423,44,362,17,0,0,40,1,37,2,98,273,167,29,7,0,1,9,124,0,0,0,0,0,3,0,0,0,0,0,0,9,121,0,5,19,0,0,9,6,2,0,3,2,145,0,0,2,75
174,Kobierzyce,dolnośląskie,wrocławski,wiejska,14926,149,20437,137,128,118,10,0,0,308,52,251,5,0,0,62,0,38,24,21,183,181,46,4,0,1,3,73,0,0,0,0,0,1,0,0,0,0,0,0,3,72,0,10,21,0,0,6,3,3,0,2,1,100,1,0,0,45
175,Mietków,dolnośląskie,wrocławski,wiejska,8338,83,3821,46,22,19,3,0,0,44,7,37,0,0,0,5,0,4,1,6,21,32,6,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,10,0,0,1,1,0,0,2,0,5,0,0,4,1
176,Siechnice,dolnośląskie,wrocławski,miejsko-wiejska,9871,99,21037,213,109,107,2,0,0,256,35,208,13,0,0,33,1,20,12,31,145,138,39,12,0,0,4,85,0,0,0,0,0,8,0,2,0,1,0,1,4,76,0,12,47,0,1,8,4,1,0,2,4,61,0,0,5,29
177,Sobótka,dolnośląskie,wrocławski,miejsko-wiejska,13626,136,12835,94,122,118,4,0,0,171,28,138,5,0,0,19,1,18,0,46,96,111,33,7,0,0,4,36,0,0,0,0,1,1,0,0,0,0,0,0,3,35,0,1,12,1,2,5,2,0,0,2,2,29,0,0,1,15
178,Żórawina,dolnośląskie,wrocławski,wiejska,12027,120,10583,88,79,78,1,0,0,164,25,131,8,0,0,14,0,13,1,20,92,92,36,3,0,0,5,52,0,0,0,0,0,3,0,1,0,0,0,0,5,49,0,5,25,0,0,2,2,0,0,1,1,57,0,0,1,25
180,Bardo,dolnośląskie,ząbkowicki,miejsko-wiejska,7303,73,5362,73,34,34,0,0,0,72,16,54,2,0,0,8,2,5,1,8,41,41,13,3,0,0,1,19,0,0,0,0,0,2,0,0,0,0,0,0,1,17,0,0,9,0,0,3,1,1,0,0,0,16,0,0,1,7
181,Ciepłowody,dolnośląskie,ząbkowicki,wiejska,7741,77,3059,40,21,20,1,0,0,24,4,19,1,0,0,2,0,2,0,1,16,17,9,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,2,3,0,0,0,0,0,0,0,0,4,0,0,0,3
182,Kamieniec Ząbkowicki,dolnośląskie,ząbkowicki,wiejska,9669,97,8247,85,78,74,2,2,0,96,14,77,5,0,0,17,3,13,1,23,66,66,14,5,0,0,2,23,0,0,0,0,0,4,0,0,0,0,0,0,2,19,0,0,10,1,0,17,1,0,0,2,0,9,0,0,1,15
183,Stoszowice,dolnośląskie,ząbkowicki,wiejska,11072,112,5473,49,52,49,2,1,0,32,4,25,3,0,0,14,0,12,2,2,31,33,14,3,1,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,1,5,0,0,0,0,1,0,1,0,3,0,1,1,3
184,Ząbkowice Śląskie,dolnośląskie,ząbkowicki,miejsko-wiejska,14613,146,22058,151,162,158,4,0,0,254,70,177,7,0,0,36,0,34,2,110,160,110,36,0,0,0,3,92,0,1,0,1,0,3,0,0,0,2,0,1,3,86,0,8,16,0,0,11,13,0,0,0,2,74,0,0,0,47
