ID,Gmina,Województwo,Powiat,Typ gminy,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
1203,Młynarze,mazowieckie,makowski,wiejska,7486,75,1761,24,11,9,0,2,0,23,1,21,1,0,0,0,0,0,0,1,4,21,3,5,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,2,0,0,2,0,0,0,0,0,8,0,0,0,2
1204,Płoniawy-Bramura,mazowieckie,makowski,wiejska,13485,135,5464,41,19,17,0,2,0,43,0,41,2,0,0,1,0,1,0,1,24,22,10,5,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,1,7,2,0,2,1,0,0,1,0,15,0,0,0,11
1205,Różan,mazowieckie,makowski,miejsko-wiejska,8458,85,4446,53,34,33,1,0,0,129,8,116,5,0,0,3,0,2,1,23,49,59,14,17,1,0,3,14,0,0,0,0,0,2,0,0,0,0,0,0,3,12,0,0,50,1,0,21,0,0,0,7,0,19,0,0,3,6
1206,Rzewnie,mazowieckie,makowski,wiejska,11175,112,2651,24,9,7,2,0,0,40,2,37,1,0,0,2,0,2,0,1,16,23,7,2,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,2,19,0,0,1,1,0,0,2,0,6,0,0,1,1
1207,Sypniewo,mazowieckie,makowski,wiejska,12845,128,3346,26,13,12,1,0,0,19,1,18,0,0,0,0,0,0,0,0,7,16,8,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,9,0,0,0,0,0,0,1,0,3,0,0,0,0
1208,Szelków,mazowieckie,makowski,wiejska,11321,113,3704,33,17,17,0,0,0,48,2,46,0,0,0,2,0,2,0,9,34,8,9,4,0,1,1,14,0,1,0,1,0,0,0,0,0,0,0,0,1,13,0,0,20,2,0,1,1,0,0,1,0,13,0,0,1,9
1210,Cegłów,mazowieckie,miński,wiejska,9563,96,6146,64,24,21,3,0,0,54,8,46,0,0,0,8,1,4,3,14,30,23,9,2,0,0,1,15,0,0,0,0,0,2,0,0,0,0,0,0,1,13,0,0,15,0,0,0,0,0,0,0,0,9,1,0,1,4
1211,Dębe Wielkie,mazowieckie,miński,wiejska,7772,78,10227,132,43,41,2,0,0,76,7,69,0,0,0,8,0,8,0,6,59,42,9,3,0,0,3,16,0,0,0,0,0,2,0,0,0,0,0,0,3,14,0,0,7,2,0,0,0,0,0,2,0,28,0,0,0,13
1212,Dobre,mazowieckie,miński,wiejska,12490,125,6027,48,24,20,4,0,0,38,7,31,0,0,0,0,0,0,0,6,17,25,12,2,0,0,3,19,0,0,0,0,2,1,0,0,0,0,0,0,1,18,0,2,2,0,1,1,0,0,0,0,0,9,0,0,0,3
1213,Halinów,mazowieckie,miński,miejsko-wiejska,6309,63,15926,252,66,60,6,0,0,130,11,119,0,0,0,18,1,17,0,19,73,62,29,13,0,0,1,34,0,2,0,1,0,1,0,0,0,0,0,0,1,31,0,5,15,8,0,4,2,0,0,0,0,35,0,0,0,10
1214,Jakubów,mazowieckie,miński,wiejska,8698,87,5068,58,24,23,1,0,0,35,2,33,0,0,0,2,0,2,0,4,28,19,6,2,0,0,1,13,0,0,0,0,1,1,0,1,0,0,0,0,0,12,0,0,2,0,0,0,0,0,0,0,0,13,0,0,0,5
1215,Kałuszyn,mazowieckie,miński,miejsko-wiejska,9439,94,5897,62,28,26,2,0,0,68,8,60,0,0,0,5,0,5,0,9,34,32,15,6,0,0,2,18,0,0,0,0,0,1,0,0,0,0,0,0,2,17,0,1,23,0,1,2,1,0,0,0,0,15,0,0,2,7
1216,Latowicz,mazowieckie,miński,wiejska,11405,114,5436,48,22,21,1,0,0,50,2,47,1,0,0,3,0,3,0,2,30,28,9,3,0,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,1,18,0,0,12,3,0,2,1,0,0,0,0,10,0,0,0,2
1217,Mińsk Mazowiecki (gmina miejska),mazowieckie,miński,miejska,1318,13,40399,3065,74,69,4,1,0,202,49,152,1,0,0,56,0,24,32,138,75,42,12,8,0,1,1,50,0,0,0,0,0,4,0,0,0,1,0,0,1,45,0,2,5,0,0,0,4,4,0,1,0,46,0,0,8,30
1218,Mińsk Mazowiecki (gmina wiejska),mazowieckie,miński,wiejska,11231,112,15258,136,89,82,6,0,1,143,21,121,1,0,0,21,1,7,13,31,115,51,28,7,0,0,1,43,0,1,0,1,0,5,0,0,0,1,0,1,1,36,0,6,19,3,0,1,6,5,0,1,1,36,1,0,8,17
1219,Mrozy,mazowieckie,miński,miejsko-wiejska,14492,145,8695,60,26,24,2,0,0,64,10,54,0,0,0,5,0,3,2,5,31,39,12,2,1,0,2,11,0,0,0,0,0,2,0,0,0,0,0,0,2,9,0,0,7,0,0,0,0,0,0,0,0,9,0,0,1,4
1220,Siennica,mazowieckie,miński,wiejska,11087,111,7466,67,25,24,1,0,0,60,6,52,2,0,0,8,0,1,7,15,29,28,8,5,0,0,1,23,0,0,0,0,0,2,0,0,0,0,0,0,1,21,0,0,9,0,0,0,0,0,0,0,0,15,0,0,1,9
1221,Stanisławów,mazowieckie,miński,wiejska,10637,107,6737,63,24,22,2,0,0,62,3,59,0,0,0,5,0,5,0,8,21,37,14,6,0,0,4,23,0,0,0,0,1,1,0,0,0,0,0,0,3,22,0,2,9,0,0,0,0,0,0,0,0,23,0,0,0,19
1222,Sulejówek,mazowieckie,miński,miejska,1931,19,19663,1018,49,45,4,0,0,119,17,102,0,0,0,22,0,17,5,30,73,43,13,9,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,1,17,1,0,2,3,0,0,0,0,24,1,0,0,4
1224,Dzierzgowo,mazowieckie,mławski,wiejska,15061,151,3126,21,5,5,0,0,0,27,1,26,0,0,0,1,0,1,0,2,11,14,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,3,0,0,0,0,0,2,0,0,0,1
1225,Lipowiec Kościelny,mazowieckie,mławski,wiejska,11445,114,4845,42,15,13,2,0,0,65,2,62,1,0,0,0,0,0,0,11,33,24,12,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,7,0,0,12,0,0,0,0,0,8,0,0,0,4
1226,Mława,mazowieckie,mławski,miejska,3480,35,31243,898,93,91,2,0,0,314,29,284,1,0,0,47,1,15,31,175,153,60,16,3,0,0,3,64,0,0,0,0,0,3,0,1,0,0,0,0,3,61,0,22,37,0,0,25,10,0,0,0,5,40,0,0,1,34
1227,Radzanów,mazowieckie,mławski,wiejska,9886,99,3371,34,30,28,0,1,1,33,1,32,0,0,0,1,0,1,0,8,22,19,13,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,7,0,0,0,0,0,0,2,0,4,0,0,2,3
1228,Strzegowo,mazowieckie,mławski,wiejska,21421,215,7616,36,44,43,1,0,0,94,2,91,1,0,0,0,0,0,0,15,45,59,14,5,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,16,0,1,17,0,1,6,0,0,0,1,1,18,0,0,2,5
1229,Stupsk,mazowieckie,mławski,wiejska,11799,118,4889,41,24,22,2,0,0,88,2,86,0,0,0,3,0,3,0,23,55,29,5,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,19,0,0,15,0,0,0,1,0,6,0,0,0,4
1230,Szreńsk,mazowieckie,mławski,wiejska,10939,109,4204,38,16,15,1,0,0,43,2,41,0,0,0,1,0,1,0,15,31,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,4,1,0,0,1,0,2,0,0,0,1
1231,Szydłowo,mazowieckie,mławski,wiejska,12250,122,4645,38,19,19,0,0,0,65,3,62,0,0,0,8,0,2,6,13,34,27,8,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,9,0,0,5,0,0,0,0,3,14,0,0,0,6
1232,Wieczfnia Kościelna,mazowieckie,mławski,wiejska,11973,120,4107,34,19,16,2,1,0,65,2,62,0,1,0,3,0,3,0,14,36,21,11,2,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,5,10,0,0,6,4,0,0,1,1,19,0,0,0,9
1233,Wiśniewo,mazowieckie,mławski,wiejska,9928,99,5330,54,28,26,2,0,0,59,5,53,1,0,0,1,0,1,0,7,31,41,7,1,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,2,7,0,1,10,1,0,0,0,0,14,0,0,1,8
1235,Czosnów,mazowieckie,nowodworski,wiejska,12845,128,9918,77,85,83,2,0,0,154,27,126,1,0,0,21,1,16,4,24,116,77,18,3,0,1,5,38,0,1,0,1,0,0,0,0,0,1,0,0,5,36,0,5,31,0,0,1,2,0,0,1,0,66,0,0,1,9
1236,Leoncin,mazowieckie,nowodworski,wiejska,15798,158,5577,35,45,40,4,1,0,53,7,46,0,0,0,3,1,2,0,6,19,55,16,2,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,15,0,0,0,0,0,0,0,0,8,0,0,1,3
1237,Nasielsk,mazowieckie,nowodworski,miejsko-wiejska,20577,206,19949,97,64,57,6,1,0,124,25,99,0,0,0,16,0,15,1,7,55,88,28,6,4,0,4,34,0,0,0,0,0,2,0,0,0,0,0,0,4,32,0,3,14,0,0,2,2,2,0,0,1,35,0,0,3,6
1238,Nowy Dwór Mazowiecki,mazowieckie,nowodworski,miejska,2821,28,28637,1015,136,132,4,0,0,314,113,199,2,0,0,61,1,38,22,154,215,66,13,2,0,0,3,35,0,0,0,0,0,0,0,0,0,0,0,0,3,35,0,1,28,0,0,12,4,0,0,2,0,55,1,0,5,21
1239,Pomiechówek,mazowieckie,nowodworski,wiejska,10268,103,9106,89,53,52,1,0,0,97,25,71,1,0,0,11,0,11,0,12,62,57,17,2,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,1,16,2,0,0,1,0,0,0,1,26,0,0,1,8
1240,Zakroczym,mazowieckie,nowodworski,miejsko-wiejska,7170,72,6111,85,71,65,6,0,0,89,16,70,3,0,0,9,0,6,3,16,65,54,19,5,0,1,2,26,0,0,0,0,0,0,0,0,0,0,0,0,2,26,0,1,18,2,0,2,0,0,0,2,0,40,0,0,0,2
1242,Baranowo,mazowieckie,ostrołęcki,wiejska,19757,198,6593,33,8,8,0,0,0,65,1,64,0,0,0,2,0,2,0,2,36,30,3,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,1,10,0,0,2,7
1243,Czarnia,mazowieckie,ostrołęcki,wiejska,9385,94,2594,28,6,6,0,0,0,21,0,21,0,0,0,0,0,0,0,1,13,9,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,1
1244,Czerwin,mazowieckie,ostrołęcki,wiejska,17024,170,5136,30,15,12,3,0,0,39,2,37,0,0,0,3,0,3,0,2,15,24,7,6,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,5,0,0,1,0,0,0,0,1,16,0,0,0,1
1245,Goworowo,mazowieckie,ostrołęcki,wiejska,21910,219,8412,38,46,44,2,0,0,36,0,36,0,0,0,4,0,4,0,4,24,42,8,4,0,0,1,13,0,0,0,0,0,1,0,0,0,0,0,0,1,12,0,0,4,0,0,1,0,0,0,1,0,16,0,0,1,4
1246,Kadzidło,mazowieckie,ostrołęcki,wiejska,25888,258,11442,44,33,31,2,0,0,64,3,60,1,0,0,5,0,2,3,7,25,38,21,6,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,3,21,0,3,13,1,0,0,0,1,0,0,0,25,0,0,0,6
1247,Lelis,mazowieckie,ostrołęcki,wiejska,19639,196,9549,49,31,28,3,0,0,65,4,61,0,0,0,4,0,4,0,7,39,35,12,3,0,0,2,9,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0,0,9,1,0,0,1,1,0,0,0,10,0,0,2,5
1248,Łyse,mazowieckie,ostrołęcki,wiejska,24678,246,8469,34,17,16,1,0,0,72,2,70,0,0,0,5,0,5,0,6,20,37,19,7,0,0,2,34,0,0,0,0,0,0,0,0,0,0,0,0,2,34,0,1,7,0,0,1,0,1,0,0,0,40,0,0,0,23
1249,Myszyniec,mazowieckie,ostrołęcki,miejsko-wiejska,22681,227,10471,46,28,28,0,0,0,56,3,53,0,0,0,3,0,3,0,8,34,24,14,4,0,0,2,17,0,0,0,0,0,1,0,0,0,0,0,0,2,16,0,4,4,1,0,0,1,0,0,0,0,20,0,0,0,6
1250,Olszewo-Borki,mazowieckie,ostrołęcki,wiejska,19674,197,10625,54,37,35,2,0,0,75,0,74,1,0,0,5,1,4,0,7,51,36,16,2,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,2,9,2,0,1,0,1,0,1,0,22,0,0,2,2
1251,Rzekuń,mazowieckie,ostrołęcki,wiejska,13089,131,10569,81,35,33,2,0,0,64,2,61,1,0,0,7,0,7,0,7,37,37,15,3,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,1,11,1,0,0,1,1,0,2,1,19,1,0,0,4
1252,Troszyn,mazowieckie,ostrołęcki,wiejska,15630,156,4848,31,11,10,1,0,0,22,1,21,0,0,0,1,0,1,0,5,9,14,3,2,0,0,0,6,0,1,0,1,0,0,0,0,0,0,0,0,0,5,0,0,9,0,0,0,0,1,0,0,1,7,0,0,0,2
1254,Ostrołęka,mazowieckie,Ostrołęka,miasto na prawach powiatu,3346,34,52451,1568,95,93,2,0,0,209,17,190,2,0,0,52,5,27,20,106,127,47,18,6,0,0,0,33,0,0,0,0,0,1,0,0,0,0,0,0,0,32,0,3,14,1,0,2,2,3,0,3,4,55,0,0,5,10
1256,Andrzejewo,mazowieckie,ostrowski,wiejska,11874,119,4173,35,10,10,0,0,0,47,1,45,1,0,0,1,0,1,0,7,24,20,4,2,0,0,3,9,0,0,0,0,1,1,0,0,0,0,0,0,2,8,0,0,23,0,0,0,0,0,0,8,0,15,0,0,0,2
1257,Boguty-Pianki,mazowieckie,ostrowski,wiejska,8909,89,2647,30,11,9,1,1,0,20,1,19,0,0,0,0,0,0,0,5,9,9,5,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,4,0,0,0,0,0,0,0,0,5,0,0,0,2
1258,Brok,mazowieckie,ostrowski,miejsko-wiejska,10991,110,2863,26,18,18,0,0,0,56,1,55,0,0,0,1,0,1,0,12,41,15,5,1,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,8,0,1,5,0,0,1,0,0,0,0,0,9,0,0,0,2
1259,Małkinia Górna,mazowieckie,ostrowski,wiejska,13431,134,11740,87,134,124,9,1,0,149,38,110,1,0,0,40,0,40,0,60,104,93,20,6,0,0,4,30,0,0,0,0,1,3,0,0,0,0,0,0,3,27,0,2,10,0,2,2,1,0,0,5,0,59,1,0,1,6
1260,Nur,mazowieckie,ostrowski,wiejska,9600,96,2759,29,17,15,2,0,0,42,2,40,0,0,0,0,0,0,0,15,17,17,10,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,4,0,1,0,0,0,0,0,0,6,0,0,0,2
1261,Ostrów Mazowiecka (gmina wiejska),mazowieckie,ostrowski,wiejska,28294,282,12919,46,63,63,0,0,0,127,7,120,0,0,0,10,1,7,2,101,94,29,8,3,0,0,4,38,0,0,0,0,1,0,0,0,0,0,0,0,3,38,0,5,14,1,2,0,0,0,0,4,2,48,0,0,0,5
1262,Ostrów Mazowiecka (gmina miejska),mazowieckie,ostrowski,miejska,2227,22,22656,1017,87,86,1,0,0,148,21,127,0,0,0,44,1,25,18,31,99,44,14,2,0,0,1,27,0,0,0,0,0,1,0,0,0,0,0,0,1,26,0,1,10,1,1,2,3,1,0,0,0,52,0,0,0,8
1263,Stary Lubotyń,mazowieckie,ostrowski,wiejska,10959,110,3753,34,9,8,1,0,0,26,1,24,1,0,0,1,0,1,0,2,13,14,5,1,0,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,4,0,0,0,0,0,0,1,0,15,0,0,0,5
1264,Szulborze Wielkie,mazowieckie,ostrowski,wiejska,4672,47,1679,36,5,5,0,0,0,16,1,15,0,0,0,0,0,0,0,4,9,8,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,4,0,0,0,0,0,0,1,0,3,1,0,0,0
1265,Wąsewo,mazowieckie,ostrowski,wiejska,11949,120,4371,37,11,11,0,0,0,45,2,43,0,0,0,0,0,0,0,6,16,27,5,2,0,0,2,9,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0,0,10,1,0,2,0,0,0,1,0,10,0,0,0,3
1266,Zaręby Kościelne,mazowieckie,ostrowski,wiejska,8873,89,3724,42,13,12,1,0,0,26,1,25,0,0,0,0,0,0,0,7,9,16,4,2,1,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,12,0,1,7,0,1,1,0,0,0,0,0,9,0,0,0,4
1268,Celestynów,mazowieckie,otwocki,wiejska,8892,89,11662,131,61,57,4,0,0,117,7,109,1,0,0,14,0,11,3,13,76,69,19,1,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,0,3,15,0,0,12,0,0,9,2,1,0,1,0,20,1,0,0,7
1269,Józefów,mazowieckie,otwocki,miejska,2391,24,20488,857,66,63,3,0,0,134,13,120,1,0,0,52,3,21,28,29,95,54,22,0,0,0,3,39,0,1,0,1,0,1,0,0,0,0,0,0,3,37,0,4,17,0,1,5,1,1,0,1,2,37,3,1,2,25
1270,Karczew,mazowieckie,otwocki,miejsko-wiejska,8150,82,15916,195,168,160,8,0,0,114,14,98,2,0,0,32,0,24,8,33,130,89,25,5,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,3,5,0,0,3,2,1,0,0,0,44,0,0,3,25
1271,Kołbiel,mazowieckie,otwocki,wiejska,10650,106,8186,77,35,35,0,0,0,92,12,80,0,0,0,11,3,8,0,5,38,64,13,6,1,0,3,32,0,0,0,0,1,1,0,0,0,1,0,1,2,30,0,2,11,0,0,2,2,1,0,0,0,38,0,0,1,12
1272,Osieck,mazowieckie,otwocki,wiejska,6798,68,3583,53,28,26,2,0,0,32,5,27,0,0,0,4,1,3,0,7,26,16,10,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,5,0,0,1,0,0,0,0,0,2,1,0,1,3
1273,Otwock,mazowieckie,otwocki,miejska,4731,47,44873,948,197,185,12,0,0,327,38,287,2,0,0,116,8,56,52,110,224,141,36,11,0,1,3,59,0,0,0,0,0,7,0,0,0,1,0,1,3,51,0,5,34,0,0,20,18,1,0,4,6,73,0,0,0,45
1274,Sobienie-Jeziory,mazowieckie,otwocki,wiejska,9768,98,6369,65,82,80,2,0,0,67,6,59,2,0,0,18,1,8,9,11,61,55,17,4,1,0,4,27,0,0,0,0,1,0,0,0,0,0,0,0,3,27,0,3,2,0,0,0,1,0,0,0,0,32,0,1,4,25
1275,Wiązowna,mazowieckie,otwocki,wiejska,10212,102,12693,124,57,53,4,0,0,153,8,140,5,0,0,37,3,19,15,5,78,90,33,4,0,0,4,52,0,0,0,0,0,0,0,0,0,0,0,0,4,52,0,4,16,0,0,5,2,0,0,0,0,53,0,0,0,20
1277,Góra Kalwaria,mazowieckie,piaseczyński,miejsko-wiejska,14412,144,26579,184,256,245,11,0,0,187,28,158,1,0,0,55,0,45,10,51,173,146,58,15,0,0,2,62,0,0,0,0,0,2,0,0,0,0,0,0,2,60,0,6,29,1,0,6,3,1,0,0,1,84,1,0,0,45
1278,Konstancin-Jeziorna,mazowieckie,piaseczyński,miejsko-wiejska,7858,79,24776,315,162,157,5,0,0,215,23,190,0,2,0,43,4,35,4,59,168,107,33,8,2,0,4,36,0,0,0,0,0,5,0,0,0,0,0,0,4,31,0,0,40,0,1,22,6,0,0,0,1,54,0,0,14,33
1279,Lesznowola,mazowieckie,piaseczyński,miejska,6930,69,25976,375,75,73,2,0,0,218,28,189,1,0,0,47,2,33,12,22,119,114,30,8,0,0,5,74,0,0,0,0,0,0,0,0,0,1,0,0,5,73,0,7,22,0,0,9,5,0,0,2,4,114,0,0,5,39
1280,Piaseczno,mazowieckie,piaseczyński,miejsko-wiejska,12826,128,82526,643,208,203,5,0,0,546,78,467,1,0,0,127,4,83,40,159,342,194,52,6,0,0,8,109,0,0,0,0,0,1,0,0,0,0,0,0,8,108,0,10,126,1,0,18,7,1,0,6,12,177,4,0,9,96
1281,Prażmów,mazowieckie,piaseczyński,miejska,8647,87,10804,125,82,77,4,1,0,80,8,72,0,0,0,24,7,17,0,12,66,59,23,2,0,0,0,20,0,0,0,0,0,1,0,0,0,0,0,0,0,19,0,0,27,0,0,3,1,0,0,0,0,22,0,0,0,11
1282,Tarczyn,mazowieckie,piaseczyński,miejsko-wiejska,11427,114,11415,100,92,88,3,0,1,143,10,131,2,0,0,17,1,15,1,41,84,83,19,8,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,5,23,0,0,2,0,0,0,0,0,81,0,0,1,20
1284,Płock,mazowieckie,Płock,miasto na prawach powiatu,8804,88,120787,1372,366,364,2,0,0,1075,215,838,22,0,0,74,2,36,36,503,512,202,90,29,88,17,8,178,0,1,0,0,1,7,0,1,0,2,0,0,7,168,0,9,88,3,0,10,26,86,0,5,10,180,2,0,118,98
1286,Bielsk,mazowieckie,płocki,wiejska,12517,125,9099,73,21,20,1,0,0,102,9,92,1,0,0,1,0,0,1,6,49,48,16,4,0,0,2,29,0,0,0,0,0,0,0,0,0,0,0,0,2,29,0,5,22,3,0,3,2,0,0,0,0,21,0,0,1,15
1287,Bodzanów,mazowieckie,płocki,wiejska,13635,136,8223,60,29,29,0,0,0,128,6,122,0,0,0,2,0,2,0,13,57,72,15,0,0,0,0,18,0,0,0,0,0,1,0,0,0,1,0,0,0,16,0,0,25,4,0,2,2,0,0,0,0,19,0,0,2,7
1288,Brudzeń Duży,mazowieckie,płocki,wiejska,15984,159,8274,52,41,38,3,0,0,156,11,144,1,0,0,0,0,0,0,24,76,69,22,6,0,0,3,13,0,0,0,0,0,1,0,0,0,0,0,0,3,12,0,0,18,3,1,4,1,0,0,0,0,16,0,0,2,14
1289,Bulkowo,mazowieckie,płocki,wiejska,11693,117,5650,48,14,9,4,1,0,73,7,66,0,0,0,0,0,0,0,22,22,29,11,3,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,0,2,4,1,0,42,0,0,1,0,0,0,0,0,5,0,0,0,3
1290,Drobin,mazowieckie,płocki,miejsko-wiejska,14350,144,8024,56,50,49,1,0,0,107,10,97,0,0,0,5,1,4,0,16,58,65,14,4,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,3,14,4,0,5,0,0,0,0,0,21,0,0,0,8
1291,Gąbin,mazowieckie,płocki,miejsko-wiejska,14621,146,11045,76,48,46,2,0,0,330,11,319,0,0,0,3,0,3,0,73,155,109,35,5,1,0,3,20,0,0,0,0,0,1,0,0,0,0,0,0,3,19,0,1,91,18,1,26,0,0,0,0,3,25,0,0,3,18
1292,Łąck,mazowieckie,płocki,wiejska,9399,94,5423,58,26,26,0,0,0,158,12,144,2,0,0,3,0,1,2,32,70,56,22,4,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0,2,18,0,0,40,3,0,6,0,0,0,0,1,25,0,0,7,11
1293,Mała Wieś,mazowieckie,płocki,wiejska,10878,109,6111,56,20,19,1,0,0,83,7,75,1,0,0,0,0,0,0,8,45,31,14,5,0,0,1,11,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,24,2,0,0,1,0,0,0,0,9,0,0,1,3
1294,Nowy Duninów,mazowieckie,płocki,wiejska,14623,146,3966,27,29,22,7,0,0,69,9,60,0,0,0,2,0,2,0,14,30,33,11,9,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,14,0,0,3,0,0,0,0,2,8,0,0,1,9
1295,Radzanowo,mazowieckie,płocki,wiejska,10445,104,8413,81,19,16,3,0,0,90,4,86,0,0,0,1,0,0,1,11,55,32,8,3,0,0,4,19,0,0,0,0,1,0,0,0,0,0,0,0,3,19,0,0,22,1,0,2,0,0,0,0,0,17,0,1,0,11
1296,Słubice,mazowieckie,płocki,wiejska,9582,96,4469,47,28,27,1,0,0,81,7,74,0,0,0,1,0,0,1,22,48,26,11,2,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,27,0,0,5,0,0,0,0,0,6,0,0,0,1
1297,Słupno,mazowieckie,płocki,wiejska,7493,75,7705,103,40,39,1,0,0,174,2,172,0,0,0,0,0,0,0,29,93,73,16,3,0,0,0,15,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,40,13,0,14,0,1,0,0,1,20,0,0,0,11
1298,Stara Biała,mazowieckie,płocki,wiejska,11112,111,11809,106,37,36,0,1,0,123,6,112,5,0,0,0,0,0,0,14,83,46,11,6,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,1,26,3,1,4,4,2,0,0,0,32,0,0,0,14
1299,Staroźreby,mazowieckie,płocki,wiejska,13766,138,7370,54,31,30,1,0,0,96,13,82,0,1,0,3,0,3,0,1,35,68,17,6,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,0,21,1,0,3,0,0,0,0,0,16,0,0,0,4
1300,Wyszogród,mazowieckie,płocki,miejsko-wiejska,9565,96,5645,59,29,29,0,0,0,95,11,84,0,0,0,5,0,5,0,14,46,44,14,6,0,0,1,17,0,0,0,0,0,1,0,0,0,0,0,0,1,16,0,0,19,3,0,3,2,0,0,0,2,20,0,0,3,5
1302,Baboszewo,mazowieckie,płoński,wiejska,16223,162,8016,49,30,30,0,0,0,138,2,136,0,0,0,4,0,4,0,43,56,42,22,5,0,0,2,28,0,0,0,0,1,3,0,1,0,0,0,0,1,25,0,3,66,8,0,9,0,0,0,6,0,20,0,0,0,12
1303,Czerwińsk nad Wisłą,mazowieckie,płoński,wiejska,14411,144,7738,54,35,34,1,0,0,117,18,99,0,0,0,9,1,6,2,7,47,59,28,10,1,0,5,20,0,0,0,0,1,5,0,0,0,0,0,0,4,15,0,1,35,4,1,5,0,0,0,9,0,20,0,0,1,6
