"KG PSP Warszawa
ul. Podchor¹¿ych 38
00-463 Warszawa
";;;;;;;;;;;;;;;;;Warszawa, dn. 23-01-2019r.
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"1_2. Zdarzenia wg rodzaju i wielkoœci w rozbiciu na województwo, powiat i gminê
";;;;;;;;;;;;;;;;;
;;Po¿ar (P);;;;;Miejscowe zagro¿enie (MZ);;;;;;Alarm fa³szywy (AF);;;;OGÓ£EM
LP.;Podzia³ administracyjny;RAZEM;Ma³y (P/M);Œredni (P/Œ);Du¿y (P/D);Bardzo du¿y (P/BD);RAZEM;Ma³e (MZ/M);Lokalne (MZ/L);Œrednie (MZ/Œ);Du¿e (MZ/D);Gigantyczne lub klêska ¿ywio³owa (MZ/K);RAZEM;Z³oœliwy (A/Z);W dobrej wierze (A/DW);Z instalacji wykrywania (A/IW); 
132;Malczyce;54;50;4;0;0;26;7;18;1;0;0;4;0;3;1;84
133;Miêkinia;130;122;7;1;0;110;34;71;5;0;0;17;0;17;0;257
134;Œroda Œl¹ska;162;156;5;0;1;156;38;116;2;0;0;25;0;19;6;343
135;Udanin;63;59;4;0;0;50;7;36;7;0;0;7;0;7;0;120
136;œwidnicki;941;891;47;3;0;972;262;653;56;1;0;147;6;108;33;2060
137;Dobromierz;44;43;1;0;0;37;8;24;5;0;0;2;0;2;0;83
138;Jaworzyna Œl¹ska;97;87;8;2;0;76;13;56;7;0;0;5;1;4;0;178
139;Marcinowice;76;68;8;0;0;45;6;37;2;0;0;2;0;2;0;123
140;Strzegom;234;228;6;0;0;147;35;99;13;0;0;24;1;19;4;405
141;Œwidnica (gmina wiejska);95;85;9;1;0;133;39;89;5;0;0;22;0;8;14;250
142;Œwidnica (gmina miejska);185;180;5;0;0;316;99;210;7;0;0;72;4;53;15;573
143;Œwiebodzice;119;115;4;0;0;131;48;73;9;1;0;15;0;15;0;265
144;¯arów;91;85;6;0;0;87;14;65;8;0;0;5;0;5;0;183
145;trzebnicki;572;530;39;3;0;651;103;529;19;0;0;52;2;38;12;1275
146;Oborniki Œl¹skie;110;105;5;0;0;140;25;107;8;0;0;9;0;8;1;259
147;Prusice;98;92;6;0;0;62;9;53;0;0;0;11;0;6;5;171
148;Trzebnica;170;154;15;1;0;193;40;148;5;0;0;18;2;12;4;381
149;Wisznia Ma³a;63;55;7;1;0;81;10;70;1;0;0;5;0;4;1;149
150;Zawonia;47;44;2;1;0;45;8;35;2;0;0;3;0;2;1;95
151;¯migród;84;80;4;0;0;130;11;116;3;0;0;6;0;6;0;220
152;Wa³brzych;715;696;18;1;0;628;134;477;17;0;0;118;5;62;51;1461
153;Wa³brzych;715;696;18;1;0;628;134;477;17;0;0;118;5;62;51;1461
154;wa³brzyski;473;452;17;3;1;376;58;305;13;0;0;67;3;36;28;916
155;Boguszów-Gorce;187;187;0;0;0;103;16;83;4;0;0;17;0;13;4;307
156;Czarny Bór;66;59;6;1;0;25;5;18;2;0;0;3;0;3;0;94
157;G³uszyca;33;30;3;0;0;38;1;33;4;0;0;4;1;3;0;75
158;Jedlina-Zdrój;28;26;1;1;0;31;5;26;0;0;0;8;1;4;3;67
159;Mieroszów;43;37;5;1;0;68;18;50;0;0;0;12;1;1;10;123
160;Stare Bogaczowice;48;47;1;0;0;46;4;40;2;0;0;6;0;6;0;100
161;Szczawno-Zdrój;33;32;0;0;1;32;4;27;1;0;0;12;0;1;11;77
162;Walim;35;34;1;0;0;33;5;28;0;0;0;5;0;5;0;73
163;wo³owski;294;270;22;2;0;335;70;256;9;0;0;20;2;16;2;649
164;Brzeg Dolny;95;88;7;0;0;114;28;79;7;0;0;8;1;5;2;217
165;Wiñsko;68;57;9;2;0;55;10;44;1;0;0;5;1;4;0;128
166;Wo³ów;131;125;6;0;0;166;32;133;1;0;0;7;0;7;0;304
167;Wroc³aw;2417;2372;35;8;2;4675;1477;3068;130;0;0;1456;48;723;685;8548
168;Wroc³aw;2417;2372;35;8;2;4675;1477;3068;130;0;0;1456;48;723;685;8548
169;wroc³awski;855;812;38;4;1;1828;271;1496;61;0;0;219;4;167;48;2902
170;Czernica;97;92;4;1;0;152;20;128;4;0;0;12;1;11;0;261
171;D³ugo³êka;113;105;7;1;0;269;59;202;8;0;0;34;0;26;8;416
172;Jordanów Œl¹ski;33;29;3;0;1;41;1;39;1;0;0;0;0;0;0;74
173;K¹ty Wroc³awskie;152;146;4;2;0;423;44;362;17;0;0;40;1;37;2;615
174;Kobierzyce;128;118;10;0;0;308;52;251;5;0;0;62;0;38;24;498
175;Mietków;22;19;3;0;0;44;7;37;0;0;0;5;0;4;1;71
