ID,Powiat,Województwo,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
2163,Rybnik,śląskie,14836,148,139129,938,397,393,4,0,0,844,128,703,13,0,0,120,6,57,57,299,570,272,63,36,0,1,5,250,0,1,0,1,0,19,0,1,0,2,0,1,5,228,0,34,68,1,0,3,52,1,0,3,14,198,0,0,9,127
554,rycki,lubelskie,61453,615,56765,92,192,179,12,1,0,604,74,525,5,0,0,32,1,31,0,115,274,252,93,62,0,0,11,132,0,0,0,0,1,1,0,0,0,0,0,0,10,131,0,4,70,4,7,57,9,0,0,11,6,158,4,0,7,67
298,rypinski,kujawsko-pomorskie,58647,586,44029,75,157,150,7,0,0,639,47,591,1,0,0,15,4,11,0,221,333,161,69,12,0,0,7,90,0,0,0,0,2,5,0,0,0,1,0,0,5,84,0,11,105,1,5,31,1,1,0,11,2,90,0,0,3,27
1709,Rzeszow,podkarpackie,12041,120,189662,1575,302,293,9,0,0,719,86,621,12,0,0,243,4,52,187,226,542,198,47,8,0,0,13,217,0,1,0,1,2,11,0,0,0,1,0,1,11,204,0,17,82,3,5,19,39,3,4,13,15,201,4,0,18,56
1694,rzeszowski,podkarpackie,115333,1153,169165,147,421,396,24,1,0,682,32,629,21,0,0,66,5,26,35,69,413,455,125,41,0,0,7,263,0,0,0,0,0,16,0,4,0,0,0,0,7,247,0,25,105,8,11,29,21,5,0,15,17,228,0,3,13,48
2303,sandomierski,świętokrzyskie,67589,676,78405,116,377,351,26,0,0,586,42,535,9,0,0,21,1,19,1,93,342,369,129,29,0,1,19,172,0,1,0,0,1,6,0,0,0,2,0,1,18,163,0,12,109,1,2,45,12,1,0,9,10,116,1,0,14,63
1711,sanocki,podkarpackie,115643,1156,95035,82,253,247,5,0,1,1054,131,919,4,0,0,53,6,33,14,204,536,397,116,52,2,0,12,214,0,1,0,0,1,6,0,1,0,3,0,3,11,204,0,20,80,16,74,32,19,0,0,8,23,199,2,0,9,69
1820,sejnenski,podlaskie,85517,855,20270,24,66,58,8,0,0,191,42,148,1,0,0,11,0,8,3,28,83,80,44,22,0,0,4,31,0,0,0,0,1,3,0,0,0,0,0,0,3,28,0,0,47,0,1,9,1,0,0,2,2,36,0,0,18,12
305,sepolenski,kujawsko-pomorskie,79109,791,41373,52,137,121,16,0,0,735,38,692,5,0,0,15,2,10,3,202,350,224,68,27,1,0,2,95,0,0,0,0,0,2,0,0,0,0,0,0,2,93,0,8,121,4,0,61,14,0,0,9,6,127,0,0,10,55
1362,Siedlce,mazowieckie,3186,32,77653,2437,161,156,5,0,0,536,108,428,0,0,0,158,5,48,105,245,308,104,31,9,0,0,5,127,0,0,0,0,0,10,0,0,0,0,0,0,5,117,0,13,60,1,0,10,7,1,0,6,11,127,1,0,10,60
1364,siedlecki,mazowieckie,160348,1603,81402,51,413,387,26,0,0,902,73,825,3,1,0,42,0,34,8,106,497,533,163,14,1,0,13,236,0,1,0,1,1,10,0,0,0,0,0,0,12,225,1,21,156,7,3,18,2,2,0,3,4,219,2,0,4,82
2165,Siemianowice Slaskie,śląskie,2550,25,67523,2648,501,494,6,0,1,490,74,403,13,0,0,98,3,44,51,497,354,117,19,3,1,0,2,126,0,4,0,4,0,29,0,8,0,1,0,1,2,92,0,10,72,0,0,7,77,0,0,10,38,67,3,0,1,57
1826,siemiatycki,podlaskie,145946,1459,45191,31,183,174,9,0,0,420,34,382,4,0,0,11,0,10,1,85,231,204,66,14,0,2,10,100,0,0,0,0,5,4,0,0,0,0,0,0,5,96,0,6,94,4,34,29,1,0,0,9,5,83,0,0,6,41
838,sieradzki,łódzkie,149083,1491,118692,80,492,440,47,3,2,777,96,662,19,0,0,69,3,38,28,180,501,429,131,28,0,0,22,207,0,0,0,0,1,14,0,5,0,1,0,1,21,192,0,17,93,0,1,37,6,3,0,7,19,193,1,0,11,86
1378,sierpecki,mazowieckie,85204,852,52559,62,177,163,14,0,0,475,44,427,4,0,0,10,2,7,1,104,282,185,58,22,1,0,12,87,0,0,0,0,0,4,0,0,0,1,0,0,12,82,1,16,29,12,4,6,6,0,0,7,1,120,2,0,6,62
2313,skarzyski,świętokrzyskie,39543,395,75673,191,445,435,10,0,0,537,64,469,4,0,0,24,2,16,6,82,407,380,91,22,0,0,11,131,0,3,0,3,1,9,0,0,0,1,0,1,10,118,0,3,37,0,1,6,22,0,0,7,8,119,4,0,8,42
850,Skierniewice,łódzkie,3460,35,48308,1396,134,131,3,0,0,410,37,366,6,1,0,33,1,26,6,192,219,97,29,6,1,0,10,78,0,0,0,0,0,6,0,0,0,0,0,0,10,72,0,4,16,1,0,23,9,0,0,2,10,60,0,0,2,52
852,skierniewicki,łódzkie,75338,753,38224,51,149,138,10,1,0,497,19,467,11,0,0,29,0,25,4,72,286,227,49,11,1,0,11,76,0,0,0,0,1,6,0,0,0,1,0,0,10,69,0,4,58,0,0,10,3,1,0,1,7,88,1,0,4,47
2835,slawienski,zachodniopomorskie,104320,1043,56764,54,289,277,10,2,0,540,70,466,3,1,0,40,0,38,2,201,319,204,76,28,1,0,16,138,0,1,0,0,2,8,0,0,0,0,0,0,14,129,0,11,67,3,0,16,24,0,0,0,0,101,1,0,16,69
643,slubicki,lubuskie,99929,999,47068,47,536,501,27,7,1,500,72,425,3,0,0,103,2,76,25,235,373,323,68,32,4,1,11,117,0,1,0,0,3,12,0,0,0,0,0,0,8,104,0,2,32,0,0,11,6,0,0,4,6,119,2,0,3,50
2675,slupecki,wielkopolskie,83801,838,59576,71,186,166,17,2,1,707,49,635,22,1,0,41,0,23,18,102,325,356,79,27,3,1,4,116,0,2,0,2,0,4,0,0,0,0,0,0,4,110,0,4,84,1,6,8,6,1,0,6,2,85,0,0,16,65
1967,Slupsk,pomorskie,4315,43,91465,2120,261,261,0,0,0,487,74,406,7,0,0,93,3,58,32,356,289,81,19,3,0,0,8,171,0,0,0,0,0,21,0,4,0,0,0,0,8,150,1,8,26,3,0,7,25,0,0,11,7,123,0,0,13,78
1969,slupski,pomorskie,230424,2304,98737,43,391,368,21,2,0,695,62,614,19,0,0,59,0,39,20,107,426,400,129,24,0,0,11,216,0,9,0,3,1,16,0,3,0,1,0,0,10,190,0,32,108,17,0,48,14,2,0,11,4,168,0,1,15,64
1386,sochaczewski,mazowieckie,73480,735,85175,116,674,644,29,1,0,894,90,800,4,0,0,130,3,52,75,345,713,378,108,23,1,0,6,190,0,0,0,0,0,6,0,0,0,0,0,0,6,184,0,10,138,6,0,38,12,3,0,8,14,210,0,0,1,125
1395,sokolowski,mazowieckie,113117,1131,54604,48,203,191,10,2,0,705,91,607,7,0,0,97,1,19,77,195,300,261,106,44,0,2,10,145,0,1,0,0,4,6,0,0,0,0,0,0,6,138,0,16,158,6,6,22,6,25,0,4,5,103,0,0,21,68
1836,sokolski,podlaskie,205450,2055,68188,33,318,287,28,3,0,443,61,370,12,0,0,21,4,15,2,130,284,243,75,26,1,2,22,101,0,2,0,0,10,10,0,1,0,1,0,0,12,88,0,8,88,6,1,16,5,0,0,9,17,113,3,0,7,37
1980,Sopot,pomorskie,1728,17,36533,2114,94,94,0,0,0,431,187,236,8,0,0,118,0,37,81,168,162,70,58,64,3,0,4,57,0,0,0,0,0,3,0,0,0,0,0,0,4,54,0,6,19,0,5,4,12,3,0,1,3,43,2,0,5,38
2167,Sosnowiec,śląskie,9106,91,204013,2240,815,797,18,0,0,1310,241,1051,17,1,0,450,11,317,122,446,1005,476,137,54,5,2,8,298,0,3,0,3,3,29,0,2,0,1,0,1,5,265,0,28,163,3,0,30,94,1,0,23,16,352,3,0,3,161
130,sredzki (dolnoslaskie),dolnośląskie,70414,704,53722,76,484,459,23,1,1,449,104,323,22,0,0,60,0,53,7,124,333,345,100,30,1,0,16,229,0,1,0,1,2,3,0,0,0,1,0,1,14,224,0,23,27,0,3,5,13,3,0,7,1,193,1,0,4,126
2693,sredzki (wielkopolskie),wielkopolskie,62386,624,58155,93,207,193,13,1,0,630,39,564,26,1,0,55,1,32,22,176,325,218,87,30,1,0,11,140,0,0,0,0,0,2,0,0,0,2,0,0,11,136,0,7,36,1,0,15,4,0,0,4,6,121,5,0,1,82
2699,sremski,wielkopolskie,57410,574,61229,107,193,181,9,2,1,691,35,639,17,0,0,38,0,24,14,174,364,257,64,20,0,5,6,110,0,2,0,0,2,2,0,0,0,1,0,1,4,105,0,7,38,0,0,32,6,0,0,4,6,97,0,0,5,66
1720,stalowowolski,podkarpackie,83174,832,107138,129,371,348,21,2,0,802,109,684,9,0,0,30,1,26,3,210,457,357,103,45,1,0,18,172,0,0,0,0,3,8,0,0,0,1,0,1,15,163,1,22,81,6,0,58,29,0,0,15,15,165,1,0,12,54
2319,starachowicki,świętokrzyskie,52341,523,90888,174,317,304,12,1,0,629,83,533,13,0,0,34,2,30,2,148,394,293,102,8,0,1,15,176,0,3,0,3,1,10,0,1,0,0,0,0,14,163,0,12,32,3,1,105,16,1,0,6,10,115,2,0,6,51
2842,stargardzki,zachodniopomorskie,151994,1520,120091,79,814,785,25,3,1,599,103,493,3,0,0,87,3,60,24,383,539,371,96,22,2,0,12,158,0,0,0,0,1,5,0,0,0,0,0,0,11,153,0,19,109,16,7,27,7,0,0,1,4,153,3,0,19,52
1982,starogardzki,pomorskie,134534,1345,127868,95,495,469,24,1,1,1175,160,984,31,0,0,40,4,27,9,328,647,468,185,37,1,4,33,274,0,5,0,1,0,5,0,1,0,1,0,0,33,263,1,12,98,13,2,79,22,2,0,6,6,247,1,0,20,175
2325,staszowski,świętokrzyskie,92480,925,72456,78,317,299,16,2,0,494,34,450,10,0,0,12,1,10,1,82,305,312,81,28,2,1,16,79,0,0,0,0,2,2,0,0,0,1,0,0,14,76,0,5,82,0,0,9,2,2,0,8,3,81,2,1,10,48
